COMMAND;PID;USER;FD;TYPE;DEVICE;SIZE/OFF;NODE;NAME
python;15833;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;15833;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;15853;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;15853;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;15853;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;15876;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;15876;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;15876;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;15897;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;15897;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;15897;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
python;15917;tarkus;8u;CHR;195,3;0t0;567;/dev/nvidia3
python;15917;tarkus;15u;CHR;195,3;0t0;567;/dev/nvidia3
python;15917;tarkus;16u;CHR;195,3;0t0;567;/dev/nvidia3
